WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
HACL1,BTD,ANKRD28,AC090950.1,RN7SL4P,IMPDH1P8,GALNT15,DPH3,OXNAD1,RFTN1,AC090948.1,AC090948.2,AC090948.3,DAZL,PLCL2,TBC1D5,AC140076.1,AC104297.1,SATB1,SATB1-AS1
RAD23BP1,KCNH8,EFHB,HSPA8P18,RAB5A,PP2D1,SAP18P3,AC097635.1,KAT2B,SGO1,SGO1-AS1,ZNF385D,HMGB1P5,RPL24P7,UBE2E2,Y_RNA,UBE2E1-AS1,UBE2E1,ARL4AP4,NKIRAS1
RPL15,NR1D2,THRB,THRB-IT1,THRB-AS1,AC092422.1,RARB,TOP2B,uc_338,MIR4442,NGLY1,AC092798.1,TAF9BP1,OXSM,LRRC3B,NEK10,MINOS1P3,SLC4A7,AC099535.1,AC098614.4
LINC02084,EOMES,LINC01980,CMC1,AZI2,ZCWPW2,AC098650.1,RBMS3,RBMS3-AS3,RBMS3-AS2,TGFBR2,AC096921.2,GADL1,STT3B,OSBPL10,OSBPL10-AS1,ZNF860,RPL21P40,GPD1L,AC094019.1
RPSAP11,AC097639.1,CMTM8,KRT18P15,CMTM7,CMTM6,AC104306.1,DYNC1LI1,RPL30P4,CNOT10,SUGT1P2,RPL23AP43,TRIM71,CCR4,GLB1,SEC13P1,TMPPE,CRTAP,SUSD5,FBXL2
UBP1,CLASP2,AC112220.4,PDCD6IP,LINC01811,KRT8P18,ARPP21,STAC,DCLK3,HSPD1P6,LINC02033,AC105749.1,TRANK1,AC011816.2,PRADC1P1,EPM2AIP1,MLH1,RPL29P11,LRRFIP2,UBE2D3P2
UBE2FP1,AC126118.1,AC097359.1,AC097359.3,AC097359.2,GOLGA4,TCEA1P2,C3orf35,ITGA9,ITGA9-AS1,NDUFAF4P3,CTDSPL,VILL,PLCD1,Y_RNA,DLEC1,ACAA1,MYD88,OXSR1,SLC22A13
SLC22A14,XYLB,ACVR2B-AS1,ACVR2B,EXOG,RPL18AP7,SCN5A,SCN11A,WDR48,GORASP1,TTC21A,CSRNP1,AC092053.3,AC092053.2,XIRP1,CX3CR1,CCR8,HNRNPA1P21,AC104850.1,EEF1A1P24
SLC25A38,RPSA,MOBP,MYRIP,EIF1B-AS1,EIF1B,ENTPD3-AS1,ENTPD3,RPL14,ZNF619,RNU5B-2P,ZNF620,ZNF621,EEF1GP3,AC099560.2,AC099560.1,CTNNB1,ULK4,TRAK1,RNU4-78P
CCK,VIPR1,VIPR1-AS1,SEC22C,SS18L2,NKTR,AC006059.1,ZBTB47,HHATL,CCDC13,HHATL-AS1,CCDC13-AS1,LINC02158,HIGD1A,ACKR2,AC099329.2,AC092042.3,KRBOX1,CYP8B1,HNRNPA1P22
