WASH7P,MIR6859-1,CICP27,AL627309.7,AL627309.8,AL627309.5,FO538757.2,FO538757.1,AP006222.1,AL732372.2,AL669831.3,MTND1P23,MTND2P28,MTCO1P12,MTCO2P12,MTATP8P1,MTATP6P1,MTCO3P12,CICP3,AL669831.1
AL669831.5,AL669831.4,FAM87B,LINC01128,LINC00115,AL645608.7,AL645608.3,AL645608.1,SAMD11,NOC2L,KLHL17,PLEKHN1,PERM1,AL645608.8,HES4,ISG15,AL645608.2,AGRN,AL390719.1,AL645608.9
RNF223,C1orf159,LINC01342,MIR200B,MIR200A,MIR429,AL390719.2,TTLL10-AS1,TTLL10,TNFRSF18,TNFRSF4,SDF4,B3GALT6,C1QTNF12,AL162741.1,UBE2J2,LINC01786,SCNN1D,ACAP3,PUSL1
INTS11,AL139287.1,CPTP,TAS1R3,DVL1,MXRA8,AURKAIP1,NDUFB4P8,CCNL2,AL391244.1,MRPL20,AL391244.3,ANKRD65,AL391244.2,TMEM88B,LINC01770,VWA1,ATAD3C,ATAD3B,AL645728.2
ATAD3A,TMEM240,SSU72,AL645728.1,FNDC10,AL691432.2,MIB2,MMP23B,CDK11B,FO704657.1,SLC35E2B,AL691432.1,MMP23A,CDK11A,AL031282.2,AL031282.1,SLC35E2,NADK,GNB1,AL109917.1
CALML6,TMEM52,CFAP74,AL391845.2,GABRD,AL391845.1,PRKCZ,AL590822.2,PRKCZ-AS1,FAAP20,AL590822.1,SKI,MORN1,AL589739.1,AL513477.1,AL513477.2,RER1,PEX10,PLCH2,AL139246.1
AL139246.4,PANK4,HES5,AL139246.5,TNFRSF14-AS1,TNFRSF14,AL139246.2,AL139246.3,FAM213B,MMEL1,TTC34,LINC00982,PRDM16,AL590438.1,ARHGEF16,AL512413.1,MEGF6,AL513320.1,TPRG1L,WRAP73
TP73,AL136528.1,TP73-AS1,CCDC27,SMIM1,LRRC47,RN7SL574P,AL365330.1,CEP104,DFFB,C1orf174,LINC01134,AJAP1,NPHP4,KCNAB2,CHD5,RPL22,AL031847.1,RNF207,ICMT
LINC00337,GPR153,ACOT7,AL031848.2,HES2,ESPN,AL031848.1,TNFRSF25,PLEKHG5,NOL9,AL591866.1,TAS1R1,ZBTB48,KLHL21,PHF13,THAP3,DNAJC11,AL590128.2,CAMTA1,AL359881.3
AL359881.2,AL359881.1,VAMP3,Z98884.2,PER3,Z98884.1,UTS2,TNFRSF9,PARK7,Y_RNA,AL034417.4,AL034417.3,ERRFI1,AL034417.2,AL034417.1,LINC01714,SLC45A1,RERE,AL096855.1,SNORA77
AL096855.2,RPL7P11,RPL7P7,ENO1,ENO1-AS1,HMGN2P17,CA6,SLC2A7,SLC2A5,GPR157,MIR34AHG,LINC01759,H6PD,SPSB1,BX323043.1,AL928921.2,SLC25A33,AL954705.1,TMEM201,PIK3CD
PIK3CD-AS1,PIK3CD-AS2,CLSTN1,AL357140.3,CTNNBIP1,LZIC,AL357140.2,NMNAT1,RN7SKP269,AL357140.4,RBP7,UBE4B,PGAM1P11,KIF1B,RNU6-37P,AL139424.3,AL139424.2,PGD,CENPS-CORT,CENPS
CORT,DFFA,PEX14,RN7SL614P,CASZ1,AL139423.1,C1orf127,CFL1P6,TARDBP,MASP2,AL109811.3,SRM,EXOSC10,AL109811.1,AL109811.2,MTOR,ANGPTL7,UBIAD1,UBE2V2P3,DISP3
AL031731.1,FBXO2,FBXO44,FBXO6,MAD2L2,DRAXIN,AGTRAP,C1orf167,MTHFR,CLCN6,NPPA,KIAA2013,PLOD1,MFN2,MIIP,Y_RNA,TNFRSF8,TNFRSF1B,VPS13D,SNORA59A
AC243836.1,DHRS3,RNU6ATAC18P,MIR6730,AC254633.1,C1orf158,HNRNPCL1,LRRC38,PDPN,PRDM2,KAZN,AL357873.1,AL359873.1,TMEM51-AS1,TMEM51,C1orf195,AL391094.1,FHAD1,AL031283.3,AL031283.1
EFHD2,CTRC,CELA2A,CELA2B,CASP9,DNAJC16,AL121992.3,AGMAT,AL121992.1,CHCHD2P6,DDI2,PLEKHM2,AL450998.3,SLC25A34,TMEM82,FBLIM1,RPL12P14,UQCRHL,AL450998.1,FLJ37453
SPEN,ZBTB17,C1orf64,HSPB7,CLCNKA,AL355994.2,CLCNKB,FAM131C,EPHA2,AL451042.2,AL451042.1,ARHGEF19,ANO7L1,RSG1,MT1XP1,FBXO42,SZRD1,AL358794.1,SPATA21,NECAP2
LINC01772,CROCCP3,AL137802.2,LINC01783,NBPF1,AL137798.1,CROCCP2,MST1P2,EIF1AXP1,ESPNP,CROCC,MST1L,BX284668.2,BX284668.5,BX284668.6,MFAP2,AL049569.1,ATP13A2,SDHB,PADI2
AL590644.1,PADI1,PADI3,PADI4,RCC2,ARHGEF10L,ACTL8,IGSF21,AL365209.1,KLHDC7A,ALDH4A1,IFFO2,AL137127.1,UBR4,AL035413.1,EMC1,MRTO4,AKR7L,AKR7A3,AL035413.2
AKR7A2,RNU6-1099P,PQLC2,CAPZB,MINOS1,AL031727.1,NBL1,HTR6,TMCO4,RNF186,OTUD3,PLA2G2A,PLA2G5,PLA2G2D,PLA2G2F,Z98257.1,PLA2G2C,UBXN10,VWA5B1,LINC01141
CAMK2N1,MUL1,FAM43B,CDA,PINK1,PINK1-AS,DDOST,KIF17,SH2D5,HP1BP3,EIF4G3,RPS15AP6,ECE1,AL031005.1,AL031728.1,NBPF2P,HS6ST1P1,NBPF3,ALPL,RAP1GAP
USP48,LDLRAD2,HSPG2,AL590556.1,LINC01635,LINC00339,CDC42,CDC42-IT1,AL031281.1,WNT4,AL591122.1,ZBTB40,ZBTB40-IT1,EPHA8,C1QA,C1QC,C1QB,EPHB2,TEX46,KDM1A
LUZP1,HTR1D,AL109936.1,LINC01355,AL109936.8,HNRNPR,ZNF436,ZNF436-AS1,AL109936.2,TCEA3,ASAP3,E2F2,AL021154.1,ID3,MDS2,RPL11,ELOA,ELOA-AS1,PITHD1,LYPLA2
GALE,HMGCL,FUCA1,CNR2,BTBD6P1,AL590609.2,PNRC2,SRSF10,AL591178.1,MYOM3,IL22RA1,IFNLR1,AL590683.1,AL138902.1,GRHL3,STPG1,NIPAL3,RCAN3,AL445686.2,NCMAP
SRRM1,CLIC4,RUNX3,AL445471.1,SYF2,AL031432.4,AL031432.5,RSRP1,AL031432.3,AL031432.2,RHD,SDHDP6,AL928711.1,TMEM50A,RHCE,AL031284.1,TMEM57,LDLRAP1,AL606491.1,MAN1C1
AL031280.1,SELENON,AL020996.1,MTFR1L,AUNIP,AL033528.2,PAQR7,STMN1,PAFAH2,EXTL1,SLC30A2,TRIM63,PDIK1L,FAM110D,AL391650.1,CNKSR1,CATSPER4,AL355877.1,CEP85,AL355877.2
SH3BGRL3,UBXN11,CD52,CRYBG2,AL451139.1,ZNF683,LIN28A,DHDDS,AL513365.1,AL513365.2,HMGN2,RPS6KA1,AL512408.1,ARID1A,PIGV,ZDHHC18,SFN,GPN2,GPATCH3,NUDC
NR0B2,KDF1,RPL12P13,OSTCP2,TRNP1,FAM46B,SLC9A1,AL590640.2,CHCHD3P3,NPM1P39,WDTC1,FO393419.3,TMEM222,RNU6-48P,ACTG1P20,SYTL1,MAP3K6,FCN3,CD164L2,GPR3
WASF2,BX293535.1,AHDC1,FGR,AL031729.1,AL445490.2,IFI6,AL445490.1,FAM76A,AL020997.1,STX12,AL020997.2,AL020997.3,PPP1R8,THEMIS2,RPA2,SMPDL3B,XKR8,EYA3,AL512288.2
SPCS2P4,PTAFR,DNAJC8,ATPIF1,AL353622.1,AL353622.2,SESN2,MED18,PHACTR4,RCC1,SNHG3,SNORA73B,PRDX3P2,AL513497.1,TRNAU1AP,SNHG12,SNORD99,TAF12,RAB42,LINC01715
GMEB1,YTHDF2,OPRD1,EPB41,AL138785.1,TMEM200B,SRSF4,MECR,AL590729.1,PTPRU,MATN1,MATN1-AS1,LAPTM5,LINC01778,SDC3,PUM1,AC114495.1,NKAIN1,SNRNP40,AC114495.2
ZCCHC17,FABP3,SERINC2,AC209007.1,LINC01225,LINC01226,AC114488.1,TINAGL1,HCRTR1,PEF1,AC114488.2,AC114488.3,COL16A1,ADGRB2,SPOCD1,AL354919.1,AL136115.2,PTP4A2,AL136115.1,KHDRBS1
AL445248.1,TMEM39B,KPNA6,TXLNA,CCDC28B,AL049795.1,IQCC,DCDC2B,TMEM234,EIF3I,MTMR9LP,FAM167B,LCK,HDAC1,MARCKSL1,AL109945.1,TSSK3,FAM229A,BSDC1,ZBTB8B
ZBTB8A,ZBTB8OS,RBBP4,SYNC,KIAA1522,YARS,S100PBP,FNDC5,HPCA,TMEM54,RNF19B,AL031602.1,AL355864.1,AL355864.2,AL020995.1,AK2,AZIN2,AL662907.1,TRIM62,AL662907.2
ZNF362,AL513327.3,A3GALT2,AL513327.1,PHC2,MIR3605,RN7SKP16,AL513327.2,ZSCAN20,AC115285.1,CSMD2,SMIM12,GJB5,GJB4,GJB3,GJA4,DLGAP3,AC114490.1,ZMYM6,ZMYM1
AL590434.1,SFPQ,ZMYM4,RPL5P4,ZMYM4-AS1,KIAA0319L,NCDN,AC004865.2,TFAP2E,PSMB2,C1orf216,CLSPN,AGO4,AGO1,AGO3,AL138787.2,AL138787.1,TEKT2,ADPRHL2,COL8A2
TRAPPC3,MAP7D1,THRAP3,SH3D21,STK40,LSM10,OSCP1,SNORA63C,MRPS15,CSF3R,GRIK3,LINC01137,ZC3H12A,MEAF6,MIR5581,SNIP1,FTH1P1,AL034379.1,DNALI1,GNL2
RSPO1,C1orf109,CDCA8,EPHA10,MANEAL,YRDC,C1orf122,MTF1,INPP5B,SNORA63,SF3A3,RNU6-510P,FHL3,UTP11,POU3F1,AL139158.2,AL354702.1,RRAGC,AL139260.1,MYCBP
AL139260.3,RHBDL2,AKIRIN1,NDUFS5,MACF1,HSPE1P8,BMP8A,OXCT2P1,PPIEL,PABPC4,AL365277.2,HEYL,NT5C1A,HPCAL4,PPIE,BMP8B,OXCT2,AL033527.3,AL033527.5,AL033527.4
TRIT1,MYCL,AL033527.2,MFSD2A,AL663070.1,CAP1,PPT1,AL512599.1,RLF,AL050341.2,ZMPSTE24,COL9A2,AL031985.2,SMAP2,AL031985.4,ZFP69B,AL031985.3,AL603839.4,ZFP69,AL603839.3
EXO5,AL603839.2,ZNF684,RIMS3,AL031289.1,NFYC-AS1,NFYC,KCNQ4,CITED4,CTPS1,SLFNL1-AS1,SLFNL1,SCMH1,AC093151.3,FOXO6,AC093151.2,EDN2,HIVEP3,AL445933.1,FOXJ3
AC096540.1,RIMKLA,ZMYND12,PPCS,CCDC30,TMSB4XP1,PPIH,AC098484.2,YBX1,CLDN19,P3H1,C1orf50,TMEM269,SVBP,ERMAP,AL512353.1,ZNF691,AL512353.2,ATP6V1E1P1,SLC2A1
AC099795.2,SLC2A1-AS1,AC099795.1,FAM183A,EBNA1BP2,CFAP57,TMEM125,C1orf210,TIE1,MPL,AL139289.2,CDC20,ELOVL1,MED8,AL139289.1,SZT2,HYI-AS1,PTPRF,KDM4A,KDM4A-AS1
ST3GAL3,ARTN,AL357079.1,IPO13,DPH2,ATP6V0B,B4GALT2,CCDC24,SLC6A9,AL139220.2,KLF17,AL356653.1,DMAP1,ERI3,ERI3-IT1,RNF220,TMEM53,C1orf228,RNU5F-1,KIF2C
AL592166.1,RPS8,SNORD46,RPS15AP11,BEST4,PLK3,TCTEX1D4,BTBD19,PTCH2,AL136380.1,EIF2B3,AL136380.2,MRPS17P1,HECTD3,UROD,ZSWIM5,LINC01144,HPDL,MUTYH,TOE1
TESK2,AL451136.1,CCDC163,MMACHC,PRDX1,AKR1A1,AL355480.3,AL355480.1,NASP,CCDC17,GPBP1L1,RPS15AP10,AL604028.2,TMEM69,IPP,AL604028.1,AL603882.1,MAST2,PIK3R3,AL358075.1
AL358075.2,TSPAN1,POMGNT1,LURAP1,RAD54L,LRRC41,UQCRH,NSUN4,FAAH,FAAHP1,LINC01398,DMBX1,MKNK1-AS1,MKNK1,MOB3C,ATPAF1,TEX38,EFCAB14,CYP4B1,CYP4Z2P
CYP4A11,CYP4X1,CYP4Z1,CYP4A22-AS1,CYP4A22,LINC00853,PDZK1IP1,TAL1,AL135960.1,STIL,CMPK1,LINC01389,FOXE3,FOXD2-AS1,FOXD2,TRABD2B,AC096541.1,SKINT1L,SLC5A9,AL109659.2
AL109659.3,SPATA6,PPP1R8P1,AL356968.2,AGBL4,BEND5,ELAVL4,AL596275.1,DMRTA2,FAF1,PHBP12,CDKN2C,CFL1P2,LINC01562,RNF11,AL162430.1,AL162430.2,TTC39A,TTC39A-AS1,EPS15
AL671986.1,AC104170.2,AC104170.1,CALR4P,OSBPL9,NRDC,AL050343.1,RAB3B,TXNDC12,KTI12,AL445685.1,TXNDC12-AS1,BTF3L4,ZFYVE9,AL139156.2,CC2D1B,AL513218.1,PLA2G12AP1,ORC1,PRPF38A
ZCCHC11,GPX7,FAM159A,COA7,ZYG11B,RPS13P2,ZYG11A,ECHDC2,AC099677.1,SCP2,AL445183.3,PODN,SLC1A7,AL445183.2,CPT2,AL606760.2,C1orf123,AL606760.3,MAGOH,AL606760.1
LRP8,LINC01771,AC119428.2,GLIS1,NDC1,YIPF1,DIO1,HSPB11,LRRC42,HNRNPA3P12,LDLRAD1,TMEM59,AL353898.3,TCEANC2,AL353898.1,AL357673.1,AL357673.2,CYB5RL,MRPL37,SSBP3
SSBP3-AS1,ACOT11,FAM151A,AL590093.1,MROH7,TTC4,PARS2,TTC22,AC096536.2,LEXM,DHCR24,AC096536.1,TMEM61,BSND,PCSK9,USP24,AL603840.1,AC119674.1,AC119674.2,LINC01767
PLPP3,AC099789.1,PRKAA2,FYB2,DAB1,HNRNPA1P6,RPS26P15,OMA1,TACSTD2,AL035411.1,MYSM1,AL136985.3,JUN,LINC01135,AL136985.2,AC105277.1,LINC01358,PHBP3,HSD52,AC093424.1
FGGY,AL035416.1,HOOK1,CYP2J2,C1orf87,LINC01748,AC099792.1,NFIA,NFIA-AS2,NFIA-AS1,TM2D1,AC099791.2,PATJ,RN7SL180P,L1TD1,KANK4,USP1,DOCK7,ANGPTL3,AL138847.2
AL138847.1,AC103923.1,ATG4C,AC099794.1,LINC00466,FOXD3-AS1,FOXD3,ALG6,ITGB3BP,EFCAB7,RNU7-123P,DLEU2L,PGM1,RN7SL130P,ROR1,AL161742.1,CFL1P3,ROR1-AS1,CACHD1,RAVER2
JAK1,LINC01359,SLC2A3P2,AL357078.3,MIR3671,AK4,DNAJC6,LEPROT,LEPR,AC119800.1,PDE4B,SGIP1,AL139147.1,TCTEX1D1,WDR78,MIER1,SLC35D1,IL23R,IL12RB2,SERBP1
RNU6-387P,GADD45A,GNG12,GNG12-AS1,DIRAS3,WLS,CTBP2P8,RPS7P4,RPE65,DEPDC1,AL138789.1,DEPDC1-AS1,LRRC7,LRRC40,SRSF11,ANKRD13C,HHLA3,AL158839.1,CTH,AL354872.2
PTGER3,AL031429.2,ZRANB2-AS1,ZRANB2,MIR186,ZRANB2-AS2,NEGR1,GDI2P2,LRRIQ3,FPGT,FPGT-TNNI3K,TNNI3K,AC093158.1,ERICH3,AC135803.1,CRYZ,TYW3,SLC44A5,AL096829.1,AL096829.2
ACADM,DLSTP1,RABGGTB,MSH4,ST6GALNAC3,TPI1P1,ST6GALNAC5,AL035409.1,PIGK,AC113935.1,AK5,ZZZ3,USP33,ACTG1P21,MIGA1,AC138392.1,NSRP1P1,NEXN-AS1,NEXN,FUBP1
DNAJB4,GIPC2,AC103591.3,AC103591.2,MGC27382,PTGFR,IFI44L,IFI44,AC104837.1,ADGRL4,PSAT1P3,HNRNPA1P64,LINC01781,RPL7P10,AL357632.1,ADGRL2,AL138799.1,LINC01361,LINC01725,AL035706.1
TTLL7,AL359504.2,PRKACB,AL450063.1,SAMD13,UOX,DNASE2B,RPF1,GNG5,SPATA1,CTBS,SSX2IP,LPAR3,MCOLN2,WDR63,MCOLN3,AL603750.1,SYDE2,C1orf52,Y_RNA
BCL10,AL078459.1,DDAH1,AL360219.1,AC092807.3,AC092807.2,CYR61,ZNHIT6,COL24A1,ODF2L,MIR7856,CLCA2,CLCA4,AL356270.1,CLCA3P,AL049597.2,SH3GLB1,AL049597.1,SELENOF,HS2ST1
AL121989.1,AC093155.2,LINC01140,LMO4,AL445437.1,PKN2-AS1,PKN2,RNU6-125P,ELOCP19,GTF2B,AL445991.1,KYAT3,RBMXL1,GBP3,GBP1,PTGES3P1,GBP2,GBP7,GBP4,AC099063.4
GBP5,GBP6,GBP1P1,LRRC8B,FLJ27354,LRRC8C,AC099568.1,AC099568.2,LRRC8D,AL391497.1,GEMIN8P4,ZNF326,AL590094.1,LINC01763,PHKA1P1,ZNF644,RPL5P6,HFM1,CDC7,HSP90B3P
TGFBR3,BRDT,EPHX4,SETSIP,AC104836.1,GAPDHP46,AC104836.2,C1orf146,GLMN,RPAP2,GFI1,EVI5,RPL5,FAM69A,SNORA66,AL449283.1,MTF2,TMED5,CCDC18,CCDC18-AS1
AL139421.1,DR1,AL137159.1,FNBP1L,BCAR3,AL109613.1,AL049796.1,DNTTIP2,GCLM,ABCA4,ARHGAP29,AC097059.1,AC097059.2,ABCD3,F3,SLC44A3-AS1,SLC44A3,CNN3,AC105942.1,ALG14
AC095033.1,TMEM56,TMEM56-RWDD3,AC092802.1,RWDD3,AC092802.2,AL356479.1,EEF1A1P11,RPL7P9,PTBP2,DPYD,DPYD-AS1,SEC63P1,MIR137HG,AC095031.1,SNX7,PLPPR5,AL445433.1,PLPPR4,PALMD
HMGB3P10,FRRS1,AGL,AC118553.1,SLC35A3,AC118553.2,MFSD14A,SASS6,TRMT13,LRRC39,DBT,RPL23AP90,BRI3P1,RTCA-AS1,RTCA,CDC14A,BCAS2P2,GPR88,VCAM1,EXTL2
AC104506.1,SLC30A7,HNRNPA1P68,DPH5,AC093157.2,AC093157.1,AL109741.1,S1PR1,AL109741.2,RPSAP19,OLFM3,COL11A1,AC095032.1,RNPC3,AMY2B,AC092506.1,FTLP17,AL512844.1,PRMT6,NTNG1
AC114491.1,VAV3,AL390036.1,SLC25A24,AL359258.3,FAM102B,HENMT1,PRPF38B,FNDC7,STXBP3,AKNAD1,GPSM2,CLCC1,WDR47,BX679664.3,BX679664.1,TAF13,AL356488.3,TMEM167B,AL356488.1
C1orf194,KIAA1324,SARS,CELSR2,PSRC1,MYBPHL,SORT1,PSMA5,SYPL2,ATXN7L2,CYB561D1,AMIGO1,GPR61,GNAI3,RNU6V,GNAT2,AMPD2,RPL7P8,GSTM4,GSTM2
GSTM1,GSTM5,AL158847.1,GSTM3,EPS8L3,CSF1,AHCYL1,STRIP1,AL160006.1,LINC01397,UBL4B,SLC6A17,KCNC4-AS1,KCNC4,AL355488.1,RBM15,LAMTOR5-AS1,SLC16A4,AL355488.2,LAMTOR5
PROK1,KCNA2,AL365361.1,KCNA3,CD53,AL360270.2,AL360270.1,LRIF1,AL360270.3,DRAM2,CEPT1,DENND2D,CHI3L2,PIFO,CHIAP3,OVGP1,AL390195.2,UBE2FP3,AL390195.1,WDR77
ATP5F1,C1orf162,TMIGD3,ADORA3,RAP1A,LINC01160,KRT18P57,FAM212B,FAM212B-AS1,DDX20,KCND3,LINC01750,AL445426.1,CTTNBP2NL,WNT2B,AL354760.1,ST7L,CAPZA1,MRPL53P1,MOV10
AL603832.1,RHOC,PPM1J,FAM19A3,LINC01356,AL390729.1,AL390729.2,SLC16A1,AKR7A2P1,SLC16A1-AS1,AL357055.3,LRIG2,AL357055.1,AL357055.2,MAGI3,AL391058.1,PHTF1,AL133517.1,RSBN1,AL137856.1
PTPN22,AP4B1-AS1,BCL2L15,AP4B1,DCLRE1B,HIPK1-AS1,HIPK1,OLFML3,SYT6,TRIM33,PKMP1,BCAS2,DENND2C,AMPD1,NRAS,CSDE1,RNY1P13,SIKE1,TSPAN2,LINC01765
NGF,VANGL1,CASQ2,NHLH2,HNRNPA1P43,LINC01649,SLC22A15,MAB21L3,ATP1A1,ATP1A1-AS1,LINC01762,AL390066.1,CD58,NAP1L4P1,IGSF3,GAPDHP64,CD2,FTH1P22,AL157904.1,PTGFRN
CD101,AL445231.1,TTF2,TRIM45,VTCN1,AL358072.1,MAN1A2,AL157902.2,FAM46C,PNRC2P1,GDAP2,WDR3,SPAG17,TBX15,WARS2,WARS2-IT1,RPS3AP12,AL359915.2,RPL6P2,AL359915.1
LINC01780,HAO2,HSD3B2,GAPDHP74,GAPDHP58,GAPDHP32,GAPDHP27,HSD3BP4,GAPDHP33,LINC00622,HSD3BP5,ZNF697,PHGDH,HMGCS2,REG4,NOTCH2,SEC22B,AC244669.2,AC244669.1,PFN1P2
NBPF8,AC241952.1,NBPF26,PPIAL4A,AC241377.3,LINC00623,RNVU1-4,AC241377.2,FCGR1B,AC244453.3,AC244453.2,HIST2H2BA,FAM72B,SRGAP2C,AC244021.1,AL592494.2,AL592494.3,EMBP1,AC239859.6,NBPF17P
AC239800.2,FAM91A3P,FCGR1CP,AC239798.2,AC239798.4,FAM72C,SRGAP2D,AC245595.1,RNVU1-15,NBPF15,PFN1P6,SRGAP2B,FAM72D,AC241585.2,U1,AC241585.3,AC241585.1,AC245014.3,AC245014.1,NBPF20
PFN1P3,NBPF25P,GPR89A,PDZK1,CD160,RNF115,POLR3C,NUDT17,PIAS3,ANKRD35,ITGA10,PEX11B,RBM8A,GNRHR2,LIX1L-AS1,LIX1L,ANKRD34A,POLR3GL,TXNIP,HFE2
LINC01719,NBPF10,NOTCH2NL,AC239799.2,AC243756.2,HYDIN2,NBPF12,PFN1P8,NBPF13P,AC244394.1,AC241584.1,PRKAB2,AC242426.3,FMO5,PDIA3P1,CCT8P1,AC242426.2,CHD1L,LINC00624,BCL9
ACP6,GJA5,GPR89B,PDZK1P1,AC239803.3,RNVU1-7,PDE4DIPP1,NBPF11,PFN1P4,ABHD17AP1,AC239809.3,AC239803.1,LINC01138,AC245100.1,MIR5087,AC245100.7,RNVU1-1,AC245100.4,RNVU1-3,AC245100.2
AC245100.8,U1,NBPF14,PDE4DIP,NBPF9,AC245297.3,AC245297.1,AC245297.2,NBPF19,PPIAL4C,LINC00869,AC242842.1,U1,AC243772.3,FCGR1A,HIST2H2BF,AC243772.2,HIST2H3D,HIST2H4A,HIST2H2AA3
AC239868.1,AC239868.2,HIST2H2AA4,HIST2H4B,AC239868.3,HIST2H2BE,HIST2H2AC,HIST2H2AB,BOLA1,SV2A,SF3B4,MTMR11,OTUD7B,AC244033.1,VPS45,PLEKHO1,ANP32E,RNU2-17P,CA14,APH1A
C1orf54,CIART,MRPS21,PRPF3,RPRD2,TARS2,ECM1,FALEC,AL356356.1,ADAMTSL4,ADAMTSL4-AS1,RN7SL473P,RN7SL600P,MCL1,SNORA40,ENSA,U4,GOLPH3L,HORMAD1,CTSS
CTSK,UBE2D3P3,ARNT,RPS27AP6,SETDB1,CERS2,AL590133.1,ANXA9,MINDY1,PRUNE1,BNIPL,C1orf56,CDC42SE1,MLLT11,GABPB2,AL592424.1,SEMA6C,TNFAIP8L2,SCNM1,LYSMD1
TMOD4,VPS72,PIP5K1A,PSMD4,AL391069.2,ZNF687,PI4KB,RN7SL444P,AL391069.4,RFX5,AL391069.3,SELENBP1,PSMB4,POGZ,CGN,TUFT1,AL365436.2,AL365436.1,SNX27,CELF3
RIIAD1,MRPL9,OAZ3,AL589765.4,AL589765.5,TDRKH,TDRKH-AS1,AL589765.6,LINGO4,RORC,C2CD4D,Y_RNA,AL450992.2,THEM5,THEM4,S100A10,AL450992.1,S100A11,TCHH,FLG-AS1
AL589986.2,HRNR,FLG,FLG2,HMGN3P1,IVL,SPRR1A,SPRR3,SPRR1B,SPRR2D,AL161636.2,LOR,PGLYRP4,S100A9,S100A12,S100A8,S100A7,BX470102.1,S100A6,S100A5
S100A4,S100A3,S100A2,S100A16,S100A14,S100A13,S100A1,AL162258.2,CHTOP,SNAPIN,ILF2,NPR1,INTS3,SLC27A3,GATAD2B,AL513523.2,AL513523.1,AL358472.5,DENND4B,CRTC2
SLC39A1,AL358472.4,AL358472.3,CREB3L4,JTB,AL358472.2,RAB13,RPS27,NUP210L,AL358472.1,TPM3,C1orf189,C1orf43,UBAP2L,HAX1,AQP10,ATP8B2,RPSAP17,AL162591.1,IL6R
PSMD8P1,SHE,TDRD10,UBE2Q1,UBE2Q1-AS1,CHRNB2,ADAR,KCNN3,PMVK,AL451085.1,PBXIP1,Metazoa_SRP,PYGO2,AL451085.2,SHC1,CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B
DCST2,DCST1,DCST1-AS1,ADAM15,EFNA4,EFNA3,EFNA1,SLC50A1,DPM3,KRTCAP2,TRIM46,MUC1,AC234582.1,THBS3,MTX1,GBAP1,MTX1P1,GBA,FAM189B,SCAMP3
CLK2,HCN3,PKLR,FDPS,RUSC1-AS1,RUSC1,ASH1L,POU5F1P4,ASH1L-AS1,AL353807.4,DAP3P1,AL353807.1,AL353807.2,MSTO1,AL353807.3,YY1AP1,DAP3,MSTO2P,GON4L,AL139128.1
SYT11,RIT1,KIAA0907,SNORA80E,RXFP4,ARHGEF2,AL355388.2,AL355388.1,SSR2,UBQLN4,LAMTOR2,RAB25,MEX3A,LMNA,SEMA4A,SLC25A44,PMF1,BGLAP,PAQR6,SMG5
TMEM79,GLMP,CCT3,TSACC,RHBG,AL139130.1,C1orf61,MEF2D,IQGAP3,TTC24,NAXE,GPATCH4,AL365181.4,HAPLN2,AL365181.2,BCAN,AL365181.3,AL590666.2,NES,AL590666.3
CRABP2,AL590666.1,ISG20L2,RRNAD1,MRPL24,HDGF,PRCC,SH2D2A,NTRK1,INSRR,PEAR1,LRRC71,ARHGEF11,MIR765,AL157713.1,KRT8P45,ETV3L,ETV3,CYCSP52,AL357143.1
FCRL5,FCRL4,FCRL3,FCRL2,FCRL1,CD5L,KIRREL1,LINC01704,ELL2P1,CD1D,AL138899.2,AL138899.1,CD1A,CD1C,CD1B,CD1E,EI24P2,AL365440.1,SPTA1,MNDA
PYHIN1,IFI16,AIM2,CADM3,CADM3-AS1,ACKR1,FCER1A,CRP,DUSP23,FCRL6,SLAMF8,VSIG8,AL590560.1,AL590560.2,CFAP45,AL590560.3,TAGLN2,IGSF9,SLAMF9,LINC01133
KCNJ10,AL513302.1,PIGM,AL121987.1,KCNJ9,IGSF8,ATP1A2,ATP1A4,CASQ1,AL121987.2,PEA15,DCAF8,AL139011.2,AL139011.1,RPSAP18,PEX19,COPA,SUMO1P3,Y_RNA,NCSTN
NHLH1,VANGL2,SLAMF6,AL138930.1,CD84,SLAMF1,AL121985.1,CD48,SLAMF7,LY9,CD244,ITLN1,AL354714.2,AL354714.1,ITLN2,F11R,AL591806.3,AL591806.2,TSTD1,USF1
ARHGAP30,NECTIN4,AL591806.1,KLHDC9,PFDN2,NIT1,DEDD,ACA64,UFC1,AL590714.1,USP21,PPOX,B4GALT3,ADAMTS4,NDUFS2,FCER1G,APOA2,TOMM40L,NR1I3,PCP4L1
MPZ,SDHC,CFAP126,AL592295.4,AL592295.3,AL592295.1,AL831711.1,FCGR2A,HSPA6,FCGR3A,FCGR2C,HSPA7,FCGR3B,FCGR2B,RPL31P11,FCRLA,FCRLB,DUSP12,AL359541.1,ATF6
AL391825.1,OLFML2B,NOS1AP,C1orf226,SPATA46,SH2D1B,UHMK1,UAP1,AL596325.2,DDR2,HSD17B7,CCDC190,RGS4,RGS5,RGS5,AL592435.1,NUF2,HMGB3P6,PBX1,AL391001.1
LMX1A,RXRG,AL157714.2,AL356441.1,MGST3,ALDH9A1,AL451074.4,AL451074.1,AL451074.6,TMCO1,AL451074.2,UCK2,AL358115.1,FAM78B,AL626787.1,AL596087.1,AL390115.1,LINC01675,RPL4P2,POGK
